RegionID,SizeRank,RegionName,RegionType,State,City,Metro,CountyName,10_31_2023,11_30_2023,12_31_2023,1_31_2024,March292024
71681,4126,31794,zip,GA,Tifton,"Tifton, GA",Tift County,158012.6009,158093.8263,158263.2404,158062.8514,158109
71159,4132,30507,zip,GA,Gainesville,"Gainesville, GA",Hall County,303726.0986,304821.3058,305371.8469,306067.876,307277
70851,4198,30071,zip,GA,Norcross,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,351479.7706,352818.6145,353420.8668,353643.7655,354518
71374,4208,31021,zip,GA,Dublin,"Dublin, GA",Laurens County,170887.0458,171008.2526,171703.9012,172392.0981,173051
70969,4222,30224,zip,GA,Griffin,"Atlanta-Sandy Springs-Alpharetta, GA",Spalding County,252514.1955,253619.8723,254602.4303,255544.6198,256597
71552,4257,31525,zip,GA,Brunswick,"Brunswick, GA",Glynn County,251887.334,252859.9316,253818.9558,254940.6993,256041
71180,4268,30533,zip,GA,Dahlonega,,Lumpkin County,344905.2933,346989.1525,348343.9741,349445.8329,350877
71048,4290,30329,zip,GA,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,559069.1955,561757.1479,562815.2392,562694.7126,563719
71439,4393,31093,zip,GA,Warner Robins,"Warner Robins, GA",Houston County,150010.5117,150360.209,150769.5573,150916.5396,151337
71285,4404,30720,zip,GA,Dalton,"Dalton, GA",Whitfield County,250433.5607,251866.6925,253367.9714,254490.2896,255596
71018,4448,30296,zip,GA,Riverdale,"Atlanta-Sandy Springs-Alpharetta, GA",Clayton County,248033.5303,248144.9212,248250.3568,248653.5357,249721
70914,4480,30141,zip,GA,Hiram,"Atlanta-Sandy Springs-Alpharetta, GA",Paulding County,321010.2672,321000.1109,321224.5947,321511.6924,322090
71340,4548,30904,zip,GA,Augusta,"Augusta-Richmond County, GA-SC",Richmond County,150705.9314,150695.9195,150469.3616,150274.5736,150568
